hotel_name,hotelurl,hotel_location,price,hotel_type
京王プレリアホテル札幌,https://www.jalan.net/uw/uwp3200/uww3201init.do?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&distCd=01&screenId=UWW1402&yadNo=377605&planCd=03845862&roomTypeCd=0417950&pageListNumPlan=233_1_1_1&callbackHistFlg=1&ccnt=yadlist_cp_y_5000_sale_n_0_pp_n_0,北海道札幌市北区北８条西４丁目１１番地１,"17,160円～",ツイン
京王プレリアホテル札幌,https://www.jalan.net/uw/uwp3200/uww3201init.do?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&distCd=01&screenId=UWW1402&yadNo=377605&planCd=03578439&roomTypeCd=0417944&pageListNumPlan=233_1_1_2&callbackHistFlg=1&ccnt=yadlist_cp_y_5000_sale_n_0_pp_n_0,北海道札幌市北区北８条西４丁目１１番地１,"14,950円～",ツイン
京王プレリアホテル札幌,https://www.jalan.net/uw/uwp3200/uww3201init.do?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&distCd=01&screenId=UWW1402&yadNo=377605&planCd=02609911&roomTypeCd=0417950&pageListNumPlan=233_1_1_3&callbackHistFlg=1&ccnt=yadlist_cp_y_5000_sale_n_0_pp_n_0,北海道札幌市北区北８条西４丁目１１番地１,"29,800円～",ツイン
札幌プリンスホテル,https://www.jalan.net/uw/uwp3200/uww3201init.do?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&distCd=01&screenId=UWW1402&yadNo=340565&planCd=03616669&roomTypeCd=0415456&pageListNumPlan=233_1_2_1&callbackHistFlg=1&ccnt=yadlist_cp_y_1000_sale_n_0_pp_n_0,北海道札幌市中央区南２条西１１丁目,"16,188円～",ツイン
札幌プリンスホテル,https://www.jalan.net/uw/uwp3200/uww3201init.do?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&distCd=01&screenId=UWW1402&yadNo=340565&planCd=03660263&roomTypeCd=0415456&pageListNumPlan=233_1_2_2&callbackHistFlg=1&ccnt=yadlist_cp_y_1000_sale_n_0_pp_n_0,北海道札幌市中央区南２条西１１丁目,"9,090円～",ツイン
札幌プリンスホテル,https://www.jalan.net/uw/uwp3200/uww3201init.do?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&distCd=01&screenId=UWW1402&yadNo=340565&planCd=03616217&roomTypeCd=0415456&pageListNumPlan=233_1_2_3&callbackHistFlg=1&ccnt=yadlist_cp_y_1000_sale_n_0_pp_n_0,北海道札幌市中央区南２条西１１丁目,"10,388円～",ツイン
札幌グランドホテル,https://www.jalan.net/uw/uwp3200/uww3201init.do?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&distCd=01&screenId=UWW1402&yadNo=321756&planCd=03789082&roomTypeCd=0257871&pageListNumPlan=233_1_3_1&callbackHistFlg=1&ccnt=yadlist_cp_y_10000_sale_n_0_pp_n_0,札幌市中央区北1条西4丁目,"15,600円〜",ツイン
札幌グランドホテル,https://www.jalan.net/uw/uwp3200/uww3201init.do?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&distCd=01&screenId=UWW1402&yadNo=321756&planCd=03775867&roomTypeCd=0348095&pageListNumPlan=233_1_3_2&callbackHistFlg=1&ccnt=yadlist_cp_y_10000_sale_n_0_pp_n_0,札幌市中央区北1条西4丁目,"13,000円〜",ツイン
札幌グランドホテル,https://www.jalan.net/uw/uwp3200/uww3201init.do?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&distCd=01&screenId=UWW1402&yadNo=321756&planCd=03860443&roomTypeCd=0348095&pageListNumPlan=233_1_3_3&callbackHistFlg=1&ccnt=yadlist_cp_y_10000_sale_n_0_pp_n_0,札幌市中央区北1条西4丁目,"11,200円〜",ツイン
ONSEN RYOKAN 由縁 札幌,https://www.jalan.net/uw/uwp3200/uww3201init.do?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&distCd=01&screenId=UWW1402&yadNo=396050&planCd=02835686&roomTypeCd=0452879&pageListNumPlan=233_1_4_1&callbackHistFlg=1&ccnt=yadlist_cp_y_10000_sale_n_0_pp_n_0,北海道札幌市中央区北１条西７丁目６,"18,400円～",ダブル
ONSEN RYOKAN 由縁 札幌,https://www.jalan.net/uw/uwp3200/uww3201init.do?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&distCd=01&screenId=UWW1402&yadNo=396050&planCd=03536409&roomTypeCd=0452880&pageListNumPlan=233_1_4_2&callbackHistFlg=1&ccnt=yadlist_cp_y_10000_sale_n_0_pp_n_0,北海道札幌市中央区北１条西７丁目６,"20,200円～",ダブル
ONSEN RYOKAN 由縁 札幌,https://www.jalan.net/uw/uwp3200/uww3201init.do?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&distCd=01&screenId=UWW1402&yadNo=396050&planCd=03538196&roomTypeCd=0452880&pageListNumPlan=233_1_4_3&callbackHistFlg=1&ccnt=yadlist_cp_y_10000_sale_n_0_pp_n_0,北海道札幌市中央区北１条西７丁目６,"22,000円～",ダブル
京王プラザホテル札幌,https://www.jalan.net/uw/uwp3200/uww3201init.do?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&distCd=01&screenId=UWW1402&yadNo=350240&planCd=03858501&roomTypeCd=0328919&pageListNumPlan=233_1_5_1&callbackHistFlg=1&ccnt=yadlist_cp_y_3000_sale_n_0_pp_n_0,札幌市中央区北５条西７丁目２番地１,"21,540円〜",ツイン
京王プラザホテル札幌,https://www.jalan.net/uw/uwp3200/uww3201init.do?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&distCd=01&screenId=UWW1402&yadNo=350240&planCd=00772130&roomTypeCd=0181091&pageListNumPlan=233_1_5_2&callbackHistFlg=1&ccnt=yadlist_cp_y_3000_sale_n_0_pp_n_0,札幌市中央区北５条西７丁目２番地１,"20,700円～",ツイン
京王プラザホテル札幌,https://www.jalan.net/uw/uwp3200/uww3201init.do?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&distCd=01&screenId=UWW1402&yadNo=350240&planCd=03638615&roomTypeCd=0328923&pageListNumPlan=233_1_5_3&callbackHistFlg=1&ccnt=yadlist_cp_y_3000_sale_n_0_pp_n_0,札幌市中央区北５条西７丁目２番地１,"24,180円〜",ツイン
JRタワーホテル日航札幌,https://www.jalan.net/uw/uwp3200/uww3201init.do?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&distCd=01&screenId=UWW1402&yadNo=327602&planCd=03857099&roomTypeCd=0140697&pageListNumPlan=233_1_6_1&callbackHistFlg=1&ccnt=yadlist_cp_y_4000_sale_n_0_pp_n_0,北海道札幌市中央区北５条西２丁目５番地,"41,920円～",ツイン
JRタワーホテル日航札幌,https://www.jalan.net/uw/uwp3200/uww3201init.do?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&distCd=01&screenId=UWW1402&yadNo=327602&planCd=03009436&roomTypeCd=0140697&pageListNumPlan=233_1_6_2&callbackHistFlg=1&ccnt=yadlist_cp_y_4000_sale_n_0_pp_n_0,北海道札幌市中央区北５条西２丁目５番地,"33,670円～",ツイン
JRタワーホテル日航札幌,https://www.jalan.net/uw/uwp3200/uww3201init.do?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&distCd=01&screenId=UWW1402&yadNo=327602&planCd=00922619&roomTypeCd=0140697&pageListNumPlan=233_1_6_3&callbackHistFlg=1&ccnt=yadlist_cp_y_4000_sale_n_0_pp_n_0,北海道札幌市中央区北５条西２丁目５番地,"48,100円～",ツイン
ホテルエミシア札幌,https://www.jalan.net/uw/uwp3200/uww3201init.do?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&distCd=01&screenId=UWW1402&yadNo=338679&planCd=03684134&roomTypeCd=0313318&pageListNumPlan=233_1_7_1&callbackHistFlg=1&ccnt=yadlist_cp_y_10000_sale_n_0_pp_n_0,北海道札幌市厚別区厚別中央２条５丁目５−２５,"12,760円～",ツイン
ホテルエミシア札幌,https://www.jalan.net/uw/uwp3200/uww3201init.do?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&distCd=01&screenId=UWW1402&yadNo=338679&planCd=03540071&roomTypeCd=0313323&pageListNumPlan=233_1_7_2&callbackHistFlg=1&ccnt=yadlist_cp_y_10000_sale_n_0_pp_n_0,北海道札幌市厚別区厚別中央２条５丁目５−２５,"11,500円～",ツイン
ぬくもりの宿 ふる川,https://www.jalan.net/uw/uwp3200/uww3201init.do?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&distCd=01&screenId=UWW1402&yadNo=321633&planCd=03821451&roomTypeCd=0558994&pageListNumPlan=23_1_1_1&callbackHistFlg=1&ccnt=yadlist_cp_n_0_sale_n_0_pp_n_0,札幌市南区定山渓温泉西４丁目353,"41,420円〜",和洋室
ぬくもりの宿 ふる川,https://www.jalan.net/uw/uwp3200/uww3201init.do?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&distCd=01&screenId=UWW1402&yadNo=321633&planCd=02551352&roomTypeCd=0558994&pageListNumPlan=23_1_1_2&callbackHistFlg=1&ccnt=yadlist_cp_n_0_sale_n_0_pp_n_0,札幌市南区定山渓温泉西４丁目353,"43,600円〜",和洋室
ぬくもりの宿 ふる川,https://www.jalan.net/uw/uwp3200/uww3201init.do?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&distCd=01&screenId=UWW1402&yadNo=321633&planCd=02558188&roomTypeCd=0558994&pageListNumPlan=23_1_1_3&callbackHistFlg=1&ccnt=yadlist_cp_n_0_sale_n_0_pp_n_0,札幌市南区定山渓温泉西４丁目353,"48,600円〜",和洋室
章月グランドホテル,https://www.jalan.net/uw/uwp3200/uww3201init.do?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&distCd=01&screenId=UWW1402&yadNo=333676&planCd=03579410&roomTypeCd=0392197&pageListNumPlan=23_1_2_1&callbackHistFlg=1&ccnt=yadlist_cp_y_5000_sale_n_0_pp_n_0,北海道札幌市南区定山渓温泉東３−２３９,"70,400円～",ツイン
章月グランドホテル,https://www.jalan.net/uw/uwp3200/uww3201init.do?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&distCd=01&screenId=UWW1402&yadNo=333676&planCd=03761901&roomTypeCd=0426932&pageListNumPlan=23_1_2_2&callbackHistFlg=1&ccnt=yadlist_cp_y_5000_sale_n_0_pp_n_0,北海道札幌市南区定山渓温泉東３−２３９,"72,600円〜",その他
章月グランドホテル,https://www.jalan.net/uw/uwp3200/uww3201init.do?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&distCd=01&screenId=UWW1402&yadNo=333676&planCd=03888849&roomTypeCd=0473988&pageListNumPlan=23_1_2_3&callbackHistFlg=1&ccnt=yadlist_cp_y_5000_sale_n_0_pp_n_0,北海道札幌市南区定山渓温泉東３−２３９,"62,700円～",ツイン
定山渓　ゆらく草庵（共立リゾート）,https://www.jalan.net/uw/uwp3200/uww3201init.do?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&distCd=01&screenId=UWW1402&yadNo=331405&planCd=03570065&roomTypeCd=0530424&pageListNumPlan=23_1_3_1&callbackHistFlg=1&ccnt=yadlist_cp_y_5000_sale_n_0_pp_n_0,北海道札幌市南区定山渓温泉東３丁目２２８−１,"53,460円～",ツイン
定山渓　ゆらく草庵（共立リゾート）,https://www.jalan.net/uw/uwp3200/uww3201init.do?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&distCd=01&screenId=UWW1402&yadNo=331405&planCd=03542954&roomTypeCd=0530426&pageListNumPlan=23_1_3_2&callbackHistFlg=1&ccnt=yadlist_cp_y_5000_sale_n_0_pp_n_0,北海道札幌市南区定山渓温泉東３丁目２２８−１,"64,900円～",ツイン
定山渓　ゆらく草庵（共立リゾート）,https://www.jalan.net/uw/uwp3200/uww3201init.do?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&distCd=01&screenId=UWW1402&yadNo=331405&planCd=03542987&roomTypeCd=0530424&pageListNumPlan=23_1_3_3&callbackHistFlg=1&ccnt=yadlist_cp_y_5000_sale_n_0_pp_n_0,北海道札幌市南区定山渓温泉東３丁目２２８−１,"59,400円～",ツイン
奥定山渓温泉　佳松御苑,https://www.jalan.net/uw/uwp3200/uww3201init.do?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&distCd=01&screenId=UWW1402&yadNo=327601&planCd=03887160&roomTypeCd=0412524&pageListNumPlan=23_1_4_1&callbackHistFlg=1&ccnt=yadlist_cp_n_0_sale_n_0_pp_n_0,北海道札幌市南区定山渓温泉８５７番地,"59,400円～",和洋室
奥定山渓温泉　佳松御苑,https://www.jalan.net/uw/uwp3200/uww3201init.do?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&distCd=01&screenId=UWW1402&yadNo=327601&planCd=03738861&roomTypeCd=0412517&pageListNumPlan=23_1_4_2&callbackHistFlg=1&ccnt=yadlist_cp_n_0_sale_n_0_pp_n_0,北海道札幌市南区定山渓温泉８５７番地,"63,744円～",和洋室
奥定山渓温泉　佳松御苑,https://www.jalan.net/uw/uwp3200/uww3201init.do?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&distCd=01&screenId=UWW1402&yadNo=327601&planCd=02622903&roomTypeCd=0412517&pageListNumPlan=23_1_4_3&callbackHistFlg=1&ccnt=yadlist_cp_n_0_sale_n_0_pp_n_0,北海道札幌市南区定山渓温泉８５７番地,"67,100円～",和洋室
花もみじ,https://www.jalan.net/uw/uwp3200/uww3201init.do?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&distCd=01&screenId=UWW1402&yadNo=315689&planCd=02521497&roomTypeCd=0409008&pageListNumPlan=23_1_5_1&callbackHistFlg=1&ccnt=yadlist_cp_y_4000_sale_n_0_pp_n_0,北海道札幌市南区定山渓温泉西３丁目,"36,000円〜",和室
